ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites,TWA_grouped,CongregantUsers_grouped,LikesACS,State_cleaned,MissingValues,Timeline,state_county,Party,Covid
AC2VTA500018,Realm Connect,Active,,2018-08-06,,McKinney,TX,75070-9601,Collin,US,Episcopal,Episcopal and Anglican,725,Church,19,69,False,False,True,False,False,True,True,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX COLLIN,REPUBLICAN,False
AC2VTA50001V,Realm Connect,Active,,2018-07-25,,Texarkana,TX,75503-5068,Bowie,US,Non - Denominational,Non - Denominational,1150,Church,8,82,False,False,True,True,False,False,True,True,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX BOWIE,REPUBLICAN,False
AC2VTA80000G,Realm Connect,Active,,2021-09-27,,Burleson,TX,76028-6653,Tarrant,US,Baptist - SBC,Baptist,400,Church,,,False,False,False,False,False,False,False,False,False,False,< 1479,N,True,TX,2,< 1 Yr,TX TARRANT,DEMOCRAT,False
AC2VTA80000H,Realm Connect,Active,,2018-02-27,,Scurry,TX,75158-2952,Kaufman,US,Baptist - SBC,Baptist,300,Church,14,147,True,False,False,False,False,False,True,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX KAUFMAN,REPUBLICAN,False
AC2VTA80000W,Realm Connect,Active,,2018-10-31,,Dallas,TX,75228-7125,Dallas,US,Presbyterian,Presbyterian,100,Church,9,17,False,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX DALLAS,DEMOCRAT,False
AC2VTA80001E,Realm Connect,Active,,2018-11-07,,San Antonio,TX,78240-3163,Bexar,US,Methodist - UMC,Methodist,214,Church,8,28,False,True,True,True,False,False,False,False,False,False,< 1479,< 256,True,TX,0,> 1200 days,TX BEXAR,DEMOCRAT,False
AC2VTAA00009,Realm Connect,Active,,2019-04-29,,Midland,TX,79701-4225,Midland,US,Church of Christ,Church of Christ,200,Church,1,2,False,False,False,False,False,False,False,False,False,False,< 1479,< 256,True,TX,0,820 <= days < 1200,TX MIDLAND,REPUBLICAN,False
AC2VTAC00003,Realm Connect,Active,,2020-02-17,,Garland,TX,75042-5440,Dallas,US,Baptist - Independent,Baptist,200,Church,4,11,True,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,TX,0,820 <= days < 1200,TX DALLAS,DEMOCRAT,False
AC42TA100002,Realm Connect,Active,,2019-02-01,,Macon,GA,31210-1229,Bibb,US,Presbyterian - PCA,Presbyterian,,Church,17,167,False,False,True,True,False,False,False,False,False,False,N,< 256,True,GA,1,> 1200 days,GA BIBB,DEMOCRAT,False
AC42TA10020O,Realm Inform,Active,,2020-01-28,,Macon,GA,31206-2117,Bibb,US,Baptist,Baptist,0,Church,3,0,True,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,GA,0,820 <= days < 1200,GA BIBB,DEMOCRAT,False
AC42TA10023U,Realm Connect,Active,,2018-06-04,,Watkinsville,GA,30677-4816,Oconee,US,Presbyterian - PCUSA,Presbyterian,307,Church,12,84,False,False,True,True,False,False,False,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA OCONEE,REPUBLICAN,False
AC42TA1005NS,Realm Connect,Active,,2017-11-07,,Evans,GA,30809-6127,Columbia,US,Methodist - UMC,Methodist,60,Church,16,97,False,True,True,True,False,False,True,False,False,False,< 1479,< 256,True,GA,0,> 1200 days,GA COLUMBIA,REPUBLICAN,False
