ID,Product,Status,StatusReason,Purchased,Deactivated,City,State,PostalCode,County,Country,Denomination,DenominationalGroup,TWA,OrganizationClass,StaffUsers,CongregantUsers,HHContributors,UsingOpenInvitationModel,UsingMissionInsite,UsingAccounting,UsingOnlineGiving,UsingBackGroundChecks,UsingPathways,UsingCheckin,UsingMobileCheckin,UsingMinistrySmart,UsingRefreshWebsites
AMQJXA003OLC,Realm Connect,Active,,4/6/2018,,Falls Church,VA,22041-2407,NULL,US,Catholic,Catholic,100,Non Profit Org Faith Based,12,61,42,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OM2,Realm Inform,Active,,3/22/2019,,Blountville,TN,37617-4511,Sullivan,US,Methodist - UMC,Methodist,104,Church,2,0,96,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OML,Realm Inform,Not Using,Product,5/29/2020,8/23/2021,Highland Heights,KY,41076-0017,Campbell,US,Non - Denominational,Non - Denominational,640,Church,15,15,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OMS,Realm Connect,Active,,7/18/2019,,Potomac,MD,20854-4913,Montgomery,US,Presbyterian - PCUSA,Presbyterian,137,Church,4,69,173,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OMU,Realm Inform,Active,,6/5/2019,,Marietta,OH,45750-1825,Washington,US,Pentecostal,Pentecostal,49,Church,1,0,71,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003ONX,Realm Connect,Active,,1/23/2017,,Navarre,FL,32566-2910,Santa Rosa,US,Baptist - SBC,Baptist,275,Church,4,109,302,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OON,Realm Connect,Not Using,Closed Doors/Merged,2/17/2020,9/24/2021,Nashville,TN,37211-2614,Davidson,US,Baptist - SBC,Baptist,50,Church,3,3,13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OPD,Realm Inform,Active,,11/7/2018,,Millers Creek,NC,28651,NULL,US,Methodist - UMC,Methodist,150,Church,3,2,93,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OQF,Realm Connect,Active,,11/2/2020,,Summerfield,NC,27358-9702,Guilford,US,Methodist - UMC,Methodist,83,Church,4,0,125,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AMQJXA003OSV,Realm Connect,Active,,5/2/2022,,Panama City,FL,32413-1475,Bay,US,Non - Denominational,Non - Denominational,130,Church,1,0,141,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OSZ,Realm Inform,Active,,4/13/2020,,Concord,NC,28027-9530,Cabarrus,US,Non - Denominational,Non - Denominational,25,Church,3,0,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OUN,Realm Connect,Active,,2/15/2018,,Veedersburg,IN,47987-8452,Fountain,US,Independent Christian,Other,398,Church,13,157,301,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
AMQJXA003OV7,Realm Connect,Active,,11/5/2019,,Hendersonville,TN,37075-3312,Sumner,US,Inter-Denominational,Non - Denominational,500,Church,31,507,391,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AMQJXA003OV8,Realm Connect,Active,,6/24/2019,,Clemson,SC,29631-1403,Pickens,US,Presbyterian - PCUSA,Presbyterian,290,Church,12,203,359,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
AMQJXA003OW4,Realm Inform,Active,,2/17/2016,,Carbon Hill,AL,35549,NULL,US,Baptist - SBC,Baptist,100,Church,2,0,111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OW8,Realm Inform,Active,,5/19/2020,,Nashville,TN,37211-2322,Davidson,US,Non Applicable,Other,50,Non Profit Org Faith Based,3,3,445,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003OXD,Realm Connect,Active,,8/19/2019,,Hampton,VA,23666-0430,Hampton City,US,Episcopal,Episcopal and Anglican,60,Church,2,0,24,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003P1I,Realm Connect,Active,,8/11/2014,,Greer,SC,29650-1921,Greenville,US,Baptist - SBC,Baptist,150,Church,6,0,364,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
AMQJXA003P25,Realm Inform,Active,,9/10/2020,,Prattville,AL,36067-3110,Autauga,US,Episcopal,Episcopal and Anglican,175,Church,2,0,74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003P67,Realm Connect,Active,,12/5/2016,,Oakland,CA,94611-2120,Alameda,US,Episcopal,Episcopal and Anglican,100,Church,9,99,197,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003P6J,Realm Connect,Active,,8/17/2018,,Port Washington,WI,53074-1546,Ozaukee,US,Non - Denominational,Non - Denominational,200,Church,20,91,170,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
AMQJXA003P8G,Realm Connect,Active,,1/31/2018,,Ormond Beach,FL,32176-6515,Volusia,US,Episcopal,Episcopal and Anglican,223,Church,8,71,309,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003P8S,Realm Connect,Active,,1/21/2015,,Burnsville,MN,55337-2224,Dakota,US,Non - Denominational,Non - Denominational,75,Church,2,0,436,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PB5,Realm Inform,Active,,1/31/2014,,Moss Point,MS,39562-8897,Jackson,US,Baptist - SBC,Baptist,280,Church,5,0,230,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PDO,Realm Inform,Active,,7/8/2014,,Wilmington,NC,28403-2346,New Hanover,US,Christian Ch. Disc. of Christ,Other,150,Church,4,1,194,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMQJXA003PEV,Realm Connect,Active,,4/5/2019,,Atlanta,GA,30306-3299,Fulton,US,Presbyterian - PCUSA,Presbyterian,160,Church,14,175,311,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
