,Unnamed: 0,City,CongregantUsers,Country,County,DaysOwned,LikesProduct,Deactivated,Denomination,DenominationalGroup,ID,OrganizationClass,PostalCode,Product,Purchased,StaffUsers,State,Status,StatusReason,TWA,Timeline,Unnamed: 0.1.1,UsingAccounting,UsingBackGroundChecks,UsingCheckin,UsingMinistrySmart,UsingMissionInsite,UsingMobileCheckin,UsingOnlineGiving,UsingOpenInvitationModel,UsingPathways,UsingRefreshWebsites,StateCleaned
52,52,Atlanta,CU < 50,US,Fulton,1131,True,False,Pentecostal,Pentecostal,ACACKA1001FE,Church,30315-8601,Realm Inform,2019-04-29,4.0,GA,Active,,,820 <= days < 1200,52,True,False,False,False,False,False,True,False,False,False,GA
53,53,Atlanta,CU < 50,US,Fulton,1806,True,False,Episcopal,Episcopal and Anglican,ACACKA1001FF,Church,30311-3286,Realm Inform,2017-06-23,2.0,GA,Active,,120.0,> 1200 days,53,False,False,False,False,False,False,False,False,False,False,GA
54,54,Lavonia,N,US,Hart,57,True,False,Church of God,Church of God,ACACKA1001H0,Church,30553-4619,Realm Connect,2022-04-07,,GA,Active,,250.0,< 1 Yr,54,False,False,False,False,False,False,False,False,False,False,GA
55,55,Ellenwood,CU < 50,US,DeKalb,1656,True,False,Baptist - SBC,Baptist,ACACKA1001HC,Church,30294-1534,Realm Connect,2017-11-20,7.0,GA,Active,,200.0,> 1200 days,55,True,False,False,False,True,False,True,False,False,False,GA
56,56,Lithonia,50 <= CU < 200,US,DeKalb,907,True,False,African Methodist Episcopal,AME,ACACKA1003NT,Church,30058-5849,Realm Connect,2019-12-09,11.0,GA,Active,,1000.0,820 <= days < 1200,56,True,False,False,False,False,False,False,True,False,False,GA
57,57,Carrollton,N,US,Carroll,136,True,False,Independent Christian,Other,ACACKA1003NU,Church,30117-3197,Realm Connect,2022-01-18,,GA,Active,,328.0,< 1 Yr,57,False,False,False,False,False,False,False,False,False,False,GA
58,58,Commerce,CU < 50,US,Jackson,1232,True,False,Presbyterian - PCUSA,Presbyterian,ACACKA20004U,Church,30529-2614,Realm Inform,2019-01-18,1.0,GA,Active,,167.0,> 1200 days,58,False,False,False,False,False,False,False,False,False,False,GA
59,59,Conyers,CU < 50,US,Newton,973,True,False,Baptist - SBC,Baptist,ACACKA2000G4,Church,30013-4930,Realm Connect,2019-10-04,2.0,GA,Active,,,820 <= days < 1200,59,True,False,False,False,False,False,True,False,False,False,GA
60,60,Tucker,50 <= CU < 200,US,DeKalb,1240,True,False,Jewish,Other,ACACKA2000VR,Church,30084-4411,Realm Connect,2019-01-10,6.0,GA,Active,,,> 1200 days,60,False,False,False,False,False,False,True,False,False,False,GA
61,61,Alpharetta,N,US,Fulton,350,True,False,Methodist - UMC,Methodist,ACACKA300008,Church,30004-2687,Realm Connect,2021-06-18,,GA,Active,,1200.0,< 1 Yr,61,False,False,False,False,True,False,False,False,False,False,GA
62,62,Marietta,CU < 50,US,Cobb,1088,True,False,Methodist - UMC,Methodist,ACACKA30000B,Church,30066-5137,Realm Connect,2019-06-11,5.0,GA,Active,,450.0,820 <= days < 1200,62,True,False,False,True,True,False,True,False,False,False,GA
63,63,Clarkesville,N,US,Habersham,107,True,False,Methodist - UMC,Methodist,ACACKA30000H,Church,30523-5614,Realm Connect,2022-02-16,,GA,Active,,523.0,< 1 Yr,63,False,False,False,False,True,False,False,False,False,False,GA
64,64,Rome,N,US,Floyd,228,True,False,Baptist - SBC,Baptist,ACACKA30000I,Denominational Office,30162-0729,Realm Office,2021-10-18,,GA,Active,,67.0,< 1 Yr,64,True,False,False,False,True,False,False,False,False,False,GA
65,65,Dalton,N,US,Whitfield,197,True,False,Baptist - SBC,Baptist,ACACKA300011,Church,30720-7277,Realm Connect,2021-11-18,,GA,Active,,832.0,< 1 Yr,65,False,False,False,False,True,False,False,False,False,False,GA
66,66,Brookhaven,CU < 50,US,DeKalb,1470,True,False,Presbyterian - PCUSA,Presbyterian,ACACKA300014,Church,30319-2719,Realm Connect,2018-05-25,3.0,GA,Active,,200.0,> 1200 days,66,False,False,False,False,False,False,False,False,False,False,GA
67,67,Sharpsburg,N,US,Fayette,106,True,False,Baptist - SBC,Baptist,ACACKA30002J,Church,30277,Realm Connect,2022-02-17,,GA,Active,,500.0,< 1 Yr,67,False,False,False,False,True,False,False,False,False,False,GA
68,68,Columbus,200 <= CU,US,Muscogee,107,True,False,Baptist - SBC,Baptist,ACACKA30002P,Church,31904-3502,Realm Inform,2022-02-16,12.0,GA,Active,,150.0,< 1 Yr,68,True,False,False,True,True,False,True,True,False,False,GA
69,69,Jackson,50 <= CU < 200,US,Butts,1768,True,False,Baptist - SBC,Baptist,ACACKA30003B,Church,30233-6748,Realm Connect,2017-07-31,6.0,GA,Active,,700.0,> 1200 days,69,False,False,False,False,True,False,True,True,True,False,GA
70,70,Atlanta,CU < 50,US,Fulton,1121,True,False,Baptist - Missionary,Baptist,ACACKA30004B,Church,30311-2209,Realm Connect,2019-05-09,2.0,GA,Active,,500.0,820 <= days < 1200,70,False,False,False,False,False,False,False,False,False,False,GA
71,71,Stone Mountain,CU < 50,US,DeKalb,912,True,False,African Methodist Episcopal,AME,ACAPRA10023D,Church,30088-1901,Realm Connect,2019-12-04,6.0,GA,Active,,350.0,820 <= days < 1200,71,True,False,False,False,False,False,False,False,False,False,GA
72,72,Douglasville,CU < 50,US,Douglas,878,True,False,Baptist,Baptist,ACAPRA10023H,Church,30135-2637,Realm Inform,2020-01-07,1.0,GA,Active,,,820 <= days < 1200,72,False,False,False,False,False,False,True,False,False,False,GA
73,73,Atlanta,N,US,DeKalb,1879,False,True,Seventh-day Adventist,Seventh-Day Adventist,ACAPRA10023O,Church,30338-4801,Realm Connect,2017-04-11,,GA,Not Using,Staff change,,> 1200 days,73,False,False,False,False,False,False,False,False,False,False,GA
74,74,Columbus,CU < 50,US,Muscogee,808,True,False,Christian Methodist Episcopal,Methodist,ACAPRA10057P,Church,31901-2862,Realm Connect,2020-03-17,3.0,GA,Active,,,Covid Purchase,74,True,False,False,False,False,False,True,False,False,False,GA
75,75,Joliet,CU < 50,US,Will,569,True,False,Catholic,Catholic,ACG9BA10002X,Church,60435-6099,Realm Connect,2020-11-11,9.0,IL,Active,,5700.0,365 <= days < 650,75,False,False,False,False,False,False,False,False,False,False,IL
76,76,Decatur,N,US,Macon,322,True,False,Nazarene,Other,ACG9BA1000H5,Church,62526-9622,Realm Connect,2021-07-16,,IL,Active,,,< 1 Yr,76,False,False,True,False,False,False,False,False,False,False,IL
77,77,Evansville,N,US,Vanderburgh,1165,False,True,Christian Ch. Disc. of Christ,Other,ACG9BA1000K7,Church,47714-2213,Realm Inform,2019-03-26,,IN,Not Using,Closed Doors/Merged,225.0,820 <= days < 1200,77,False,False,False,False,False,False,False,False,False,False,IN
78,78,Brownsburg,N,US,,421,True,False,Methodist - UMC,Methodist,ACG9BA1000YM,Church,46112,Realm Connect,2021-04-08,,IN,Active,,400.0,365 <= days < 650,78,False,False,True,False,True,False,False,False,False,False,IN
79,79,Davis,CU < 50,US,Yolo,598,True,False,Episcopal,Episcopal and Anglican,ACH8EA1000QX,Church,95616-3463,Realm Connect,2020-10-13,6.0,CA,Active,,570.0,365 <= days < 650,79,True,False,False,True,False,False,False,False,False,False,CA
80,80,Ashland,50 <= CU < 200,US,Hanover,1032,True,False,Methodist - UMC,Methodist,ACHFOA20002S,Church,23005-1607,Realm Connect,2019-08-06,10.0,VA,Active,,653.0,820 <= days < 1200,80,False,False,False,False,True,False,False,False,False,False,VA
81,81,Richmond,CU < 50,US,Richmond City,1932,True,False,Presbyterian - PCUSA,Presbyterian,ACHFOA20002T,Church,23230-3818,Realm Connect,2017-02-17,4.0,VA,Active,,400.0,> 1200 days,81,False,False,False,False,False,False,False,False,False,False,VA
82,82,McLean,50 <= CU < 200,US,Fairfax,857,True,False,Baptist - CBF,Baptist,ACHFOA200036,Church,22101-3947,Realm Connect,2020-01-28,7.0,VA,Active,,550.0,820 <= days < 1200,82,True,False,False,False,False,False,True,False,False,False,VA
83,83,Reisterstown,CU < 50,US,Baltimore,1341,True,False,Methodist - UMC,Methodist,ACHFOA20003B,Church,21136-1287,Realm Inform,2018-10-01,9.0,MD,Active,,,> 1200 days,83,True,False,False,False,False,False,True,False,False,False,MD
84,84,Spotsylvania,50 <= CU < 200,US,Spotsylvania,1698,True,False,Assembly of God,Assembly of God,ACHFOA20007R,Church,22551-2473,Realm Multiply,2017-10-09,17.0,VA,Active,,300.0,> 1200 days,84,True,False,True,False,False,False,True,False,False,False,VA
85,85,Alexandria,200 <= CU,US,Fairfax,1800,True,False,Methodist - UMC,Methodist,ACHFOA2000OR,Church,22308-1602,Realm Multiply,2017-06-29,17.0,VA,Active,,1802.0,> 1200 days,85,True,False,True,False,True,True,True,True,False,False,VA
86,86,Franconia,CU < 50,US,Fairfax,673,True,False,Episcopal,Episcopal and Anglican,ACHFOA2000XD,Church,22310-2542,Realm Connect,2020-07-30,4.0,VA,Active,,352.0,Covid Purchase,86,True,False,False,False,False,False,True,True,False,False,VA
87,87,Glen Allen,200 <= CU,US,Henrico,1668,True,False,Methodist - UMC,Methodist,ACHFOA20016J,Church,23059-5738,Realm Connect,2017-11-08,19.0,VA,Active,,1050.0,> 1200 days,87,True,False,True,False,True,True,True,False,True,False,VA
88,88,Richmond,50 <= CU < 200,US,Henrico,1591,True,False,Non - Denominational,Non - Denominational,ACHFOA20016N,Church,23223-1300,Realm Multiply,2018-01-24,9.0,VA,Active,,500.0,> 1200 days,88,True,False,False,False,False,False,True,False,False,False,VA
89,89,Baltimore,CU < 50,US,Baltimore City,400,True,False,Episcopal,Episcopal and Anglican,ACHFOA2001F7,Church,21217-4202,Realm Connect,2021-04-29,7.0,MD,Active,,350.0,365 <= days < 650,89,False,False,False,False,False,False,True,False,False,False,MD
90,90,Riverdale,CU < 50,US,,1873,True,False,Church of God in Christ,Church of God in Christ,ACHFOA2001I7,Church,20737-2112,Realm Connect,2017-04-17,5.0,MD,Active,,2700.0,> 1200 days,90,False,False,False,False,False,False,False,False,False,False,MD
91,91,Sparks,N,US,Washoe,112,True,False,Baptist - SBC,Baptist,ACL6OA10005U,Church,89436-9129,Realm Connect,2022-02-11,,NV,Active,,305.0,< 1 Yr,91,False,False,False,False,False,False,False,False,False,False,NV
